Unnamed: 0,Original Title Text,Title Sentence Vector,Original Description Text,Description Sentence Vector,Original Author Text,Author Sentence Vector,Cluster
23,"5 teens, including 15-year-old boy, wounded in drive-by shooting overnight, cops say",-0.0073836980154737,"Shortly before 12:15 a.m., the group of teenagers were walking in the 2000 block of West Monroe Street when someone inside a vehicle open fire, striking the teens near the United Center, police said.",0.0572267532988917,Deanese Williams-Harris,0.0497084833332337,3
24,"What’s J.J. McCarthy’s secret to staying focused? Daily meditation, says the Michigan QB and Nazareth alumnus.",-0.0073645071825012,This week in particular — with a matchup vs. archrival Ohio State coming up Saturday — Michigan QB J.J. McCarthy says his meditation routine helps tremendously.,0.1135580588088487,Larry Lage,0.0590574494563043,0
25,Will Zach LaVine be traded before the deadline? What should the Chicago Bulls get in return? 6 trade rumor mill questions.,-0.1038310240692226,"What to expect with a possible Zach LaVine trade, including a timeline for the future and what the Chicago Bulls could receive in return.",0.0474908972682897,Julia Poe,0.1105476070079021,0
26,Kellie O’Connell: Helping feed our neighbors — including our new arrivals — defines us as Chicagoans,-0.0156637413310818,Our food programs at Chicago's Nourishing Hope are serving more people today than we did at the height of the pandemic.,0.0818547231829143,Kellie O’Connell,0.0723546410154085,0
27,Editorial: Abe Lincoln‘s generous gift: A day for Americans to give thanks—and eat turkey,-0.0216812401395145,Abraham Lincoln helped set the Thanksgiving table.,0.0665039528976194,The Editorial Board,0.091423382749781,0
28,Letters: Our nation would be wise to be thankful for its immigrants,-0.0112282525133196,"From the pilgrims to the present day, it is those who have come before us that have helped make our country.",0.0523222318443004,Chicago Tribune,0.0748122863005846,3
29,David McGrath: I give thanks for these fine Americans,0.0150493695400655,Here is a Top 10 list of people (and a radio station) for which I am grateful.,0.0477171317324973,David McGrath,-0.0048594390973448,1
30,Editorial: Our thanks to Chicago firefighters and their families,-0.0563920649001374,"Four Chicago firefighters have lost their lives on the job in 2023, the most in a single year since 1998. What would we do without them? We offer thanks.",0.1568276026519015,The Editorial Board,0.0742687380698043,2
31,"Soot pollution from coal-fired power plants is more deadly than soot from other sources, study shows",-0.0486598171119112,"Only Pennsylvania, New York and Ohio recorded more deaths associated with coal plant pollution than the 25,000 deaths in Illinois during the period studied.",-0.025102279119892,Michael Hawthorne,0.0327344934485154,1
32,Descendant of Holocaust survivors forms friendship with Muslim refugee and shows ‘what’s possible in the world’,0.0356748610793147,"One is a devout Muslim who fled religious persecution in Myanmar, arriving in Chicago as a refugee. The other is a Jewish descendent of Holocaust survivors.",0.0959014437394216,Angie Leventis Lourgos,0.0377268274896778,4
33,Ask Amy: 54-year-old mother wants another child,-0.0210494190905592,"Dear Amy: At 54, my mother, already blessed with two academically accomplished children in the eighth and 12th grades, says she wants to have a third child.",0.027974481228739,Amy Dickinson,0.0121169798585469,1
34,We Should All Give Thanks for Taylor Swift,-0.0236822324804961,"She brings joy, jobs and happy feet everywhere she goes. She’s the best thing happening in America.",0.0159013889497146,Peggy Noonan,-0.0208297986537218,1
35,"Zach Edey’s 28 points, 15 boards power No. 2 Purdue men’s basketball past No. 4 Marquette for Maui Invitational title",-0.0463292746571823,Zach Edey had 28 points and 15 rebounds to carry No. 2 Purdue to a 78-75 win over No. 4 Marquette in the championship game of the Maui Invitational.,0.088371874531731,Kalani Takase,0.0300940554661792,4
36,Grateful for a new home: Community members embrace migrants as many find meaning in their first Thanksgiving celebration in Chicago,-0.0418510667514056,Maria Goitia and her family celebrated their first American Thanksgiving grateful for the help they've received since leaving their native Venezuela.,0.1251973230246221,"Laura Rodríguez Presa, Alysa Guffey",0.0917453419970115,2
37,Grateful for a new home: Community members embrace migrants as many find meaning in their first Thanksgiving celebration in Chicago,-0.0418510667514056,Maria Goitia and her family celebrated their first American Thanksgiving grateful for the help they've received since leaving their native Venezuela.,0.1251973230246221,"Laura Rodríguez Presa, Alysa Guffey",0.0917453419970115,2
38,"Colts owner Jim Irsay says police pulled him over because he’s a ‘rich, white billionaire’",-0.052319611254461,"Indianapolis Colts owner Jim Irsay told HBO Sports his arrest for operating a vehicle while intoxicated nearly a decade ago occurred because of police prejudice against “a rich, white billionaire.”",0.0990412920655217,Chicago Tribune,0.1119850183604285,0
39,Zach LaVine sits out against Oklahoma City Thunder with right foot sprain: ‘I try to play through everything’,-0.0723227709531784,Zach LaVine was unavailable for Wednesday's game against the Oklahoma City Thunder with a right foot injury.,0.0607398462016135,Julia Poe,0.047804630594328,3
40,Three arrested after armed robbery attempt at Midlothian liquor store,-0.055424164107535,"Midlothian police responded to Emporium Liquor at about 10:15 a.m. Wednesday to find two people leaving the store, one carrying merchandise and another with a ski mask.",0.0652072277734987,Ilana Arougheti,0.0649980694870464,3
41,"As COVID numbers rise, public health officials call for vigilance against respiratory viruses",0.0098488916119094,IDPH also asks residents to skip holiday gatherings if they have symptoms of respiratory infections.,0.0477279351180186,Ilana Arougheti,0.0326605106238275,3
42,Sam Altman's ouster was precipitated by letter to board about AI breakthrough,-0.00542303932707,"Ahead of OpenAI CEO <a href=""/technology/ousting-ceo-sam-altman-chatgpt-loses-its-best-fundraiser-2023-11-18/"">Sam Altman’s four days in exile</a>, several staff researchers sent the board of directors a letter warning of a powerful artificial intelligence di…",0.0534701988653978,"Anna Tong, Jeffrey Dastin, Krystal Hu",0.0626311752421315,3
43,Chicago Bears and quarterback Justin Fields look to better handle Minnesota Vikings pressure in rematch,-0.0030437966343015,Justin Fields is excited to show how he and his teammates can finish against the Minnesota Vikings. He didn’t get the chance last time around.,0.0839474360691383,Colleen Kane,0.0585960211465135,3
44,"Veterinarians warn of mystery illness affecting dogs in Illinois, other states",0.0183476849924772,Experts warn that the unnamed illness has shown to be resistant to medication in some canines.,-0.0008130953647196,Ilana Arougheti,-0.0251638937043026,1
45,"Stellantis recalls more than 32,000 hybrid Jeep Wrangler SUVs",0.0118752671405673,The recall covers 2021-2024 models of the Jeep Wrangler 4xe SUVs. All other Wrangler models have been deemed safe by Stellantis.,-0.02203189136344,Chicago Tribune,0.0241211703978478,1
46,Track coach pleads guilty tricking women into sending him nude photos,-0.051879938757338,"He previously worked as a track and field coach at several academic institutions, including Northeastern University, Penn State University, Illinois Institute of Technology, University of Tennessee and Concordia University Chicago.",0.1612854219274595,Chicago Tribune,-0.0136606521045905,4
47,"U.S. egg producers conspired to fix prices, Illinois jury finds",-0.0954213381337467,Several large food manufacturing companies including Kraft Foods Global Inc. and The Kellogg Company alleged in the lawsuit that producers used various means to increase the prices of eggs and egg products during the 2000s.,0.1390138671849854,Isabella Volmert,0.0417062483320478,2
48,Burger King tycoon recounts morning FBI showed up at his Texas doorstep with questions about Ald. Ed Burke: ‘I was relieved when they said I’m not in trouble’,-0.0168849618567037,"On the day the FBI raided then-Ald. Edward Burke’s City Hall offices, federal agents appeared on the doorstep of a Texas businessman",0.104771543003153,"Jason Meisner, Ray Long, Megan Crepeau",0.0828109231078997,0
49,"Shelley Howard, graphic artist whose posters promoted Jam Production concerts, dies at 76",0.046150271233273,"Shelley Howard, who designed rock concert posters for Jam Productions, dies at 76.",0.0753667748285806,Bob Goldsborough,-0.0278762914531398,4
